-2.298;14.815;9
-2.298;14.815;4
-2.298;14.815;-0.365
-2.298;14.815;-0.683
-2.293;14.808;-0.753
-2.281;14.788;-0.82
-2.262;14.756;-0.88
-2.235;14.713;-0.931
-2.204;14.662;-0.969
-2.169;14.604;-0.992
-2.133;14.544;-1
-1.945;14.249;-1
-1.744;13.962;-1
-1.531;13.684;-1
-1.306;13.416;-1
-1.07;13.158;-1
-0.963;13.053;-1
-0.791;12.954;-1
-0.604;12.865;-1
-0.388;12.798;-1
-0.163;12.796;-1
0.054;12.859;-1
0.145;12.9;-1
0.312;12.97;-1
0.48;13.022;-1
0.498;13.026;-1
0.647;13.057;-1
0.814;13.076;-1
1.316;13.087;-1
10.684;13.087;-1
11.186;13.076;-1
11.353;13.057;-1
11.499;13.026;-1
11.52;13.021;-1
11.688;12.97;-1
11.855;12.9;-1
11.946;12.859;-1
12.022;12.814;-1
12.19;12.714;-1
12.221;12.691;-1
12.357;12.581;-1
12.422;12.524;-1
12.524;12.42;-1
12.58;12.357;-1
12.691;12.221;-1
12.714;12.19;-1
12.814;12.022;-1
12.859;11.946;-1
12.9;11.855;-1
12.97;11.688;-1
13.026;11.491;-1
13.053;11.353;-1
13.076;11.186;-1
13.087;10.684;-1
13.087;1.316;-1
13.076;0.814;-1
13.053;0.647;-1
13.026;0.509;-1
12.97;0.312;-1
12.9;0.145;-1
12.859;0.054;-1
12.814;-0.022;-1
12.714;-0.19;-1
12.691;-0.221;-1
12.581;-0.357;-1
12.524;-0.422;-1
12.42;-0.524;-1
12.357;-0.58;-1
12.221;-0.691;-1
12.19;-0.714;-1
12.022;-0.814;-1
11.946;-0.859;-1
11.855;-0.9;-1
11.688;-0.97;-1
11.491;-1.026;-1
11.353;-1.053;-1
11.186;-1.076;-1
10.684;-1.087;-1
1.316;-1.087;-1
0.814;-1.076;-1
0.647;-1.053;-1
0.509;-1.026;-1
0.312;-0.97;-1
0.145;-0.9;-1
0.054;-0.859;-1
-0.022;-0.814;-1
-0.19;-0.714;-1
-0.221;-0.691;-1
-0.357;-0.581;-1
-0.422;-0.524;-1
-0.524;-0.42;-1
-0.58;-0.357;-1
-0.691;-0.221;-1
-0.714;-0.19;-1
-0.814;-0.022;-1
-0.859;0.054;-1
-0.9;0.145;-1
-0.97;0.312;-1
-1.022;0.48;-1
-1.026;0.498;-1
-1.057;0.647;-1
-1.076;0.814;-1
-1.087;1.316;-1
-1.087;10.684;-1
-1.076;11.186;-1
-1.057;11.353;-1
-1.026;11.499;-1
-1.021;11.52;-1
-0.97;11.688;-1
-0.9;11.855;-1
-0.859;11.946;-1
-0.814;12.022;-1
-0.714;12.19;-1
-0.691;12.221;-1
-0.58;12.357;-1
-0.524;12.42;-1
-0.422;12.524;-1
-0.357;12.581;-1
-0.221;12.691;-1
-0.19;12.714;-1
0.02;12.839;-1
0.054;12.859;-1
0.082;12.885;-0.994
0.107;12.909;-0.976
0.127;12.928;-0.948
0.14;12.94;-0.914
0.144;12.944;-0.875
0.144;12.944;4
